date,symbol,close
2023-02-17,XLU,30.8098
2023-02-24,XLU,29.9685
2023-03-03,XLU,29.8065
2023-03-10,XLU,28.9832
2023-03-17,XLU,30.1305
2023-03-24,XLU,29.7724
2023-03-31,XLU,30.6789
2023-04-07,XLU,31.6397
2023-04-14,XLU,31.2227
2023-04-21,XLU,31.5536
2023-04-28,XLU,31.2635
2023-05-05,XLU,31.2862
2023-05-12,XLU,31.2862
2023-05-19,XLU,29.9628
2023-05-26,XLU,29.2739
2023-06-02,XLU,29.5141
2023-06-09,XLU,30.0897
2023-06-16,XLU,30.5021
2023-06-23,XLU,29.7104
2023-06-30,XLU,29.8977
2023-07-07,XLU,29.8748
2023-07-14,XLU,30.5419
2023-07-21,XLU,31.2774
2023-07-28,XLU,30.6287
2023-08-04,XLU,29.2352
2023-08-11,XLU,29.5002
2023-08-18,XLU,29.0068
2023-08-25,XLU,29.0707
2023-09-01,XLU,28.6184
2023-09-08,XLU,28.8651
2023-09-15,XLU,29.6692
2023-09-22,XLU,29.1497
2023-09-29,XLU,27.1416
2023-10-06,XLU,26.3678
2023-10-13,XLU,27.312
2023-10-20,XLU,26.7271
2023-10-27,XLU,27.0495
2023-11-03,XLU,28.4911
2023-11-10,XLU,27.7818
2023-11-17,XLU,28.6891
2023-11-24,XLU,28.8734
2023-12-01,XLU,29.2602
2023-12-08,XLU,29.205
2023-12-15,XLU,29.4629
2023-12-22,XLU,29.1128
2023-12-29,XLU,29.4429
2024-01-05,XLU,30.0008
2024-01-12,XLU,29.4383
2024-01-19,XLU,28.3504
2024-01-26,XLU,28.4573
2024-02-02,XLU,28.5875
2024-02-09,XLU,28.0203
2024-02-16,XLU,28.4666
2024-02-23,XLU,28.806
2024-03-01,XLU,28.6944
2024-03-08,XLU,29.6382
2024-03-15,XLU,29.5033
2024-03-22,XLU,29.9346
2024-03-29,XLU,30.7737
2024-04-05,XLU,30.544
2024-04-12,XLU,30.094
2024-04-19,XLU,30.6705
2024-04-26,XLU,31.0268
2024-05-03,XLU,32.0674
2024-05-10,XLU,33.4081
2024-05-17,XLU,33.9096
2024-05-24,XLU,33.5159
2024-05-31,XLU,34.0878
2024-06-07,XLU,32.7846
2024-06-14,XLU,32.7846
2024-06-21,XLU,32.5268
2024-06-28,XLU,32.1984
2024-07-05,XLU,32.3921
2024-07-12,XLU,33.6727
2024-07-19,XLU,33.1387
2024-07-26,XLU,33.6302
2024-08-02,XLU,35.0714
2024-08-09,XLU,34.7831
2024-08-16,XLU,35.1754
2024-08-23,XLU,35.6384
2024-08-30,XLU,36.0495
2024-09-06,XLU,35.87
2024-09-13,XLU,37.1127
2024-09-20,XLU,37.8404
2024-09-27,XLU,38.2586
2024-10-04,XLU,38.682
2024-10-11,XLU,37.702
2024-10-18,XLU,38.9865
2024-10-25,XLU,38.2396
2024-11-01,XLU,37.1692
2024-11-08,XLU,37.6687
2024-11-15,XLU,37.702
2024-11-22,XLU,38.7486
2024-11-29,XLU,39.4527
2024-12-06,XLU,37.9113
2024-12-13,XLU,36.9361
2024-12-20,XLU,36.3604
2024-12-27,XLU,36.4938
2025-01-03,XLU,36.9735
2025-01-10,XLU,36.2539
2025-01-17,XLU,37.8177
2025-01-24,XLU,38.1295
2025-01-31,XLU,37.3572
2025-02-07,XLU,37.4819
2025-02-14,XLU,37.9424
2025-02-21,XLU,38.5036
2025-02-28,XLU,38.0
2025-03-07,XLU,37.0742
2025-03-14,XLU,37.8321
2025-03-21,XLU,37.7745
2025-03-28,XLU,37.6707
2025-04-04,XLU,36.004
2025-04-11,XLU,36.8687
2025-04-18,XLU,37.5692
2025-04-25,XLU,37.7818
2025-05-02,XLU,38.5257
2025-05-09,XLU,38.7624
2025-05-16,XLU,39.6996
2025-05-23,XLU,39.1585
2025-05-30,XLU,39.574
2025-06-06,XLU,39.2213
2025-06-13,XLU,39.3324
2025-06-20,XLU,39.0233
2025-06-27,XLU,39.5618
2025-07-04,XLU,39.8098
2025-07-11,XLU,40.1066
2025-07-18,XLU,40.7389
2025-07-25,XLU,41.1135
2025-08-01,XLU,41.7361
2025-08-08,XLU,41.921
2025-08-15,XLU,41.6486
2025-08-22,XLU,41.8529
2025-08-29,XLU,41.0162
2025-09-05,XLU,40.6027
2025-09-12,XLU,41.5902
2025-09-19,XLU,41.3226
2025-09-26,XLU,42.5117
2025-10-03,XLU,43.5401
2025-10-10,XLU,44.1718
2025-10-17,XLU,44.8427
2025-10-24,XLU,44.7545
2025-10-31,XLU,43.6331
2025-11-07,XLU,43.922
2025-11-14,XLU,43.4666
2025-11-21,XLU,43.1679
2025-11-28,XLU,44.3824
2025-12-05,XLU,42.4088
2025-12-12,XLU,41.9485
2025-12-19,XLU,41.7526
2025-12-26,XLU,42.2134
2026-01-02,XLU,42.6081
2026-01-09,XLU,41.947
2026-01-16,XLU,42.8154
2026-01-23,XLU,41.9963
2026-01-30,XLU,42.6772
2026-02-06,XLU,42.7759
2026-02-13,XLU,45.8842
2026-02-20,XLU,45.7164
2026-02-27,XLU,47.0979
2026-03-06,XLU,46.121
2026-03-13,XLU,46.3381
2026-03-20,XLU,44.0587
2026-03-27,XLU,45.3007
2026-04-03,XLU,46.046
2026-04-10,XLU,46.662
2026-04-17,XLU,45.8671
2026-04-24,XLU,45.887
2026-05-01,XLU,46.2546
2026-05-08,XLU,44.4363
2026-05-15,XLU,43.5916
2026-05-22,XLU,45.0623
2026-05-29,XLU,44.1382
2026-06-05,XLU,44.0686
2026-06-12,XLU,44.2475
2026-06-19,XLU,44.476
2026-06-26,XLU,46.2
2026-07-03,XLU,45.76
2026-07-10,XLU,45.41
2026-07-17,XLU,45.17
2026-07-24,XLU,46.29
2026-07-31,XLU,44.35
2026-08-07,XLU,43.61
2026-08-14,XLU,44.31
2026-08-21,XLU,42.77
2026-08-28,XLU,42.73
2026-09-04,XLU,43.08
2021-09-10,XLV,122.8239
2021-09-17,XLV,122.6486
2021-09-24,XLV,122.1369
2021-10-01,XLV,117.8337
2021-10-08,XLV,117.4728
2021-10-15,XLV,118.4259
2021-10-22,XLV,121.85
2021-10-29,XLV,123.8397
2021-11-05,XLV,122.9513
2021-11-12,XLV,123.8304
2021-11-19,XLV,123.0531
2021-11-26,XLV,122.1277
2021-12-03,XLV,120.647
2021-12-10,XLV,124.543
2021-12-17,XLV,127.6339
2021-12-24,XLV,129.4064
2021-12-31,XLV,130.8834
2022-01-07,XLV,124.808
2022-01-14,XLV,124.5478
2022-01-21,XLV,120.2745
2022-01-28,XLV,121.2128
2022-02-04,XLV,122.9035
2022-02-11,XLV,120.9991
2022-02-18,XLV,118.4537
2022-02-25,XLV,121.6494
2022-03-04,XLV,123.1079
2022-03-11,XLV,119.7822
2022-03-18,XLV,127.2605
2022-03-25,XLV,126.9865
2022-04-01,XLV,128.6638
2022-04-08,XLV,133.0995
2022-04-15,XLV,129.195
2022-04-22,XLV,124.5636
2022-04-29,XLV,121.4138
2022-05-06,XLV,120.9386
2022-05-13,XLV,119.839
2022-05-20,XLV,120.9386
2022-05-27,XLV,124.8897
2022-06-03,XLV,120.9759
2022-06-10,XLV,116.9409
2022-06-17,XLV,111.7224
2022-06-24,XLV,120.9064
2022-07-01,XLV,121.3556
2022-07-08,XLV,122.3475
2022-07-15,XLV,121.8422
2022-07-22,XLV,121.4959
2022-07-29,XLV,123.901
2022-08-05,XLV,123.012
2022-08-12,XLV,125.0426
2022-08-19,XLV,124.3876
2022-08-26,XLV,119.119
2022-09-02,XLV,116.9667
2022-09-09,XLV,122.1229
2022-09-16,XLV,119.2687
2022-09-23,XLV,115.3095
2022-09-30,XLV,113.7875
2022-10-07,XLV,115.2062
2022-10-14,XLV,116.4088
2022-10-21,XLV,118.8892
2022-10-28,XLV,124.827
2022-11-04,XLV,122.901
2022-11-11,XLV,125.0807
2022-11-18,XLV,126.4336
2022-11-25,XLV,128.8576
2022-12-02,XLV,131.3286
2022-12-09,XLV,129.6375
2022-12-16,XLV,127.3356
2022-12-23,XLV,128.3979
2022-12-30,XLV,128.162
2023-01-06,XLV,127.9922
2023-01-13,XLV,127.7847
2023-01-20,XLV,126.3318
2023-01-27,XLV,125.3412
2023-02-03,XLV,125.1808
2023-02-10,XLV,124.9922
2023-02-17,XLV,124.5205
2023-02-24,XLV,121.2374
2023-03-03,XLV,121.86
2023-03-10,XLV,117.1242
2023-03-17,XLV,118.7374
2023-03-24,XLV,120.5643
2023-03-31,XLV,122.61
2023-04-07,XLV,126.4552
2023-04-14,XLV,127.4496
2023-04-21,XLV,127.194
2023-04-28,XLV,126.4647
2023-05-05,XLV,126.5215
2023-05-12,XLV,125.1956
2023-05-19,XLV,124.3621
